day month year Tmin Tmax pr eto
24 10 2013 -0.8179382324218523 13.372949218750023 0.0 2.05
25 10 2013 -1.7447265624999773 16.660485839843716 0.0 2.88
26 10 2013 2.8134704589843977 17.280389404296898 0.0 2.63
27 10 2013 1.1715332031250227 22.268853759765648 0.0 3.78
28 10 2013 1.7752929687500227 15.225061035156273 0.0 2.42
29 10 2013 3.2044616699218977 18.717095947265648 1.17 2.08
30 10 2013 2.8145996093750227 18.316949462890648 0.0 1.97
31 10 2013 3.6054931640625227 17.258782958984398 0.0 2.98
1 11 2013 1.5837036132812727 14.088128662109398 0.0 3.14
2 11 2013 -1.3381408691406023 16.275598144531273 0.0 3.17
3 11 2013 0.5232482910156477 20.355767822265648 0.0 4.66
4 11 2013 0.5109802246093977 12.919458007812523 0.0 2.33
5 11 2013 -2.0788940429687273 7.769677734375023 10.8 0.96
6 11 2013 -6.413214111328102 10.662133789062523 0.0 1.9
7 11 2013 -2.7049316406249773 15.592156982421898 0.0 2.51
8 11 2013 1.0400939941406477 21.847100830078148 0.0 4.02
9 11 2013 2.9415832519531477 17.486169433593716 0.0 2.63
10 11 2013 -0.17185058593747726 15.354608154296898 0.0 2.18
11 11 2013 -5.582220458984352 11.598352050781273 0.0 0.87
12 11 2013 -9.571203613281227 6.437127685546898 0.0 1.57
13 11 2013 -4.745642089843727 16.439447021484398 0.0 3.16
14 11 2013 -0.22531738281247726 15.156457519531273 0.0 2.37
15 11 2013 -0.6341308593749773 16.932336425781273 0.0 2.74
16 11 2013 4.443170166015648 21.032861328125023 0.0 3.51
17 11 2013 0.26146850585939774 13.901391601562523 0.0 3.13
18 11 2013 -3.2908691406249773 14.859216308593716 0.0 2.96
19 11 2013 -3.2819580078124773 14.885888671875023 0.0 3.12
20 11 2013 3.0451599121093977 19.805749511718773 0.0 2.71
21 11 2013 -10.438940429687477 11.566583251953148 0.0 1.8
22 11 2013 -12.069738769531227 1.3546691894531477 0.0 1.12
23 11 2013 -8.971899414062477 1.0891662597656477 0.0 0.91
24 11 2013 -9.656958007812477 0.34731445312502274 0.0 0.73
25 11 2013 -11.802404785156284 2.5830322265625227 0.0 0.63
26 11 2013 -9.053228759765602 2.9565063476562727 0.0 0.95
27 11 2013 -10.643927001953102 8.947229003906273 0.0 1.61
28 11 2013 -7.382330322265602 6.451104736328148 0.0 1.1
29 11 2013 -7.599554443359352 9.987603759765648 0.0 1.61
30 11 2013 -2.5523132324218523 16.505517578125023 0.0 2.34
1 12 2013 -2.1112121582031023 16.106622314453148 0.0 1.95
2 12 2013 1.6082092285156477 20.177941894531273 0.0 2.93
3 12 2013 -2.5177978515624773 17.406152343750023 0.0 1.65
