UID,WR_GROUP,GRP_ACRES,TRGT_ACRES,OVLP_ACRES,OVLP_PCT,Year
378910,27,622.5,131.164234869,131.16423487,1,2006
379144,27,622.5,2.99185089538,2.99185089544,1.00000000002,2006
374925,27,622.5,33.8221755689,33.822175569,1,2006
377674,27,622.5,110.158735061,110.158735061,1,2006
1380587,27,622.5,161.456062472,160.781583878,0.995822525441,2006
376673,27,622.5,7.82213986843,7.82213986844,1,2006
1380405,27,622.5,121.680384246,121.680384246,1,2006
375761,27,622.5,8.61752585491,8.61752585482,0.99999999999,2006
375674,27,622.5,8.38434907537,8.38434907528,0.999999999989,2006
374552,27,622.5,9.25143654038,9.25143654042,1,2006
353911,29,718,126.065875169,126.028090281,0.999700276645,2006
571495,29,718,7.49544327941,7.35729380075,0.981568871445,2006
1371351,29,718,126.76260569,126.611909004,0.998811189738,2006
