crop_mn_codeyear,date_ymd,Lai,LaiStdDev
8_Logan,20130105,1.2163940336172316,0.17159794218264432
1_Rawlins,20130109,1.598279016193509,0.6102884397002044
1_Decatur,20130109,1.4388846860477682,0.4722343809273688
1_Gove,20130109,1.8044871794871802,0.6315908270133623
1_Thomas,20130109,1.8226264277766424,0.7763698707904716
1_Sheridan,20130109,1.7710243504285132,0.6632022854033461
1_Graham,20130109,1.6401120357652634,0.5772102586300186
1_Logan,20130109,1.6641131939437634,0.537156376746282
2_Cheyenne,20130109,1.550553819937518,0.5129780772515895
2_Rawlins,20130109,1.598279016193509,0.6102884397002044
2_Decatur,20130109,1.4388846860477682,0.4722343809273688
2_Sherman,20130109,1.6612120371654422,0.6495445929076706
2_Gove,20130109,1.8044871794871802,0.6315908270133623
2_Thomas,20130109,1.8226264277766424,0.7763698707904716
